
























STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完璧
STR_MEASURE_DIST_HEIGHTDIFF                                     :{BLACK}マンハッタン距離: {NUM}{}直線距離: {NUM}{}最も近い境界からの距離: {NUM}{}標高: {HEIGHT}{}高低差: {HEIGHT}

STR_SORT_BY_PROFIT_LIFETIME                                     :生涯損益
STR_SORT_BY_AVG_ORDER_OCCUPANCY                                 :平均指令積載率
STR_SORT_BY_MAX_SPEED_LOADED                                    :最高速度 (全積載時)
STR_SORT_BY_VEHICLES_CALLING                                    :呼び出し車両数
STR_SORT_BY_CARGO_CAPACITY_VS_RUNNING_COST                      :積載容量/運用費
STR_SORT_BY_VEHICLE_COUNT                                       :車両カウント

STR_SCENEDIT_TOOLBAR_PLACE_HOUSE                                :{BLACK}家を設置します

STR_SETTINGS_MENU_ZONING                                        :ゾーニング

STR_SETTINGS_MENU_MONEY_TEXT_EFFECTS                            :収益/費用テキストを表示
STR_SETTINGS_MENU_SHOW_HIDDEN_SIGNS                             :非表示の標識と名前を表示

STR_MAP_MENU_PLAN_LIST                                          :計画リスト

STR_VEHICLE_TYPE_TRAINS                                         :列車
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :道路車両
STR_VEHICLE_TYPE_SHIPS                                          :船舶
STR_VEHICLE_TYPE_AIRCRAFT                                       :航空機

STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL_SPEED                     :{TINY_FONT}{BLACK}平均輸送時間 ({STRING})
STR_GRAPH_CARGO_PAYMENT_RATES_TITLE_AVG_SPEED                   :{TINY_FONT}{BLACK}1単位(又は 1,000 リットル) の荷物を200マス離れた場所に配送したときの運賃
STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL_MINUTES                   :{TINY_FONT}{BLACK}転送にかかる時間(分)
STR_GRAPH_STATION_CARGO_CAPTION                                 :{WHITE}{STATION} - 待機貨物の履歴
STR_GRAPH_STATION_CARGO_X_LABEL_DAYS                            :{TINY_FONT}{BLACK}過去 {NUM} 日間にわたり発展
STR_GRAPH_STATION_CARGO_X_LABEL_SECONDS                         :{TINY_FONT}{BLACK}過去 {NUM} 秒間にわたり発展
STR_GRAPH_STATION_CARGO_TITLE                                   :{TINY_FONT}{BLACK}駅で待機している貨物量

STR_GRAPH_CARGO_SPEED_MODE                                      :{TINY_FONT}{BLACK}平均速度
STR_GRAPH_CARGO_TOOLTIP_TIME_MODE                               :{BLACK}輸送所要日数をグラフのX軸で表示します
STR_GRAPH_CARGO_TOOLTIP_SPEED_MODE                              :{BLACK}平均速度をグラフのX軸で表示します

STR_GRAPH_DELIVERED_CARGO_BY_COMPANY_MODE                       :{TINY_FONT}{BLACK}会社
STR_GRAPH_DELIVERED_CARGO_BY_CARGO_MODE                         :{TINY_FONT}{BLACK}貨物
STR_GRAPH_DELIVERED_CARGO_BY_COMPANY_MODE_TOOLTIP               :{BLACK}会社ごとに１線で表示します
STR_GRAPH_DELIVERED_CARGO_BY_CARGO_MODE_TOOLTIP                 :{BLACK}貨物ごとに１線で表示します

STR_SMALLMAP_SCREENSHOT                                         :{BLACK}スクリーンショット

STR_NEWS_VEHICLE_NO_DEPOT_ORDER                                 :{WHITE}{VEHICLE}に車庫へ向かう指令がありません
STR_NEWS_TRAIN_OVERSHOT_STATION                                 :{WHITE}{VEHICLE}はスピード超過により{STRING}にとまることができませんでした

STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_MINUTES_CUSTOM_LABEL   :カスタム間隔 (現実時間の分)
STR_GAME_OPTIONS_AUTOSAVE_MINUTES_QUERY_CAPT                    :{WHITE}現実時間の分でのオートセーブ間隔

STR_CONFIG_SETTING_ADVISED_LEAVE_DEFAULT                        :この設定はデフォルト値のままにしておくことを推奨します

STR_CONFIG_SETTING_TRAIN_BRAKING_REALISTIC                      :リアル {PUSH_COLOUR}{RED}(上級者向け){POP_COLOUR}
STR_CONFIG_SETTING_TRAIN_BRAKING_ASPECT_LIMITED_ON              :有効 {PUSH_COLOUR}{RED}(上級者向け、難しい){POP_COLOUR}

STR_CONFIG_SETTING_REALISTIC_BRAKING_SIGNALS_NOT_ALLOWED        :{WHITE}リアルなブレーキを有効にできません。 少なくとも一つの事前信号又は双方向信号が存在します。

STR_CONFIG_SETTING_DELIVERY_BALANCED                            :バランス

STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT                       :車庫内の輸送機器の維持費: {STRING}
STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT_HELPTEXT              :車両(停止していない)が車庫で待機中の時のメンテナンスコストを設定します
STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT_VALUE                 :{COMMA} 分の1

STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED                   :静止している輸送機器の維持費: {STRING}
STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED_HELPTEXT          :車両が車庫以外で静止している時のメンテナンスコストを設定します
STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED_VALUE             :{COMMA} 分の1

STR_CONFIG_SETTING_MONEY_CHEAT_MULTIPLAYER                      :マルチプレイクライアントに所持金チートの使用を許可: {STRING}
STR_CONFIG_SETTING_MONEY_CHEAT_MULTIPLAYER_HELPTEXT             :有効にすると管理者ではないマルチプレイクライアントが所持金チートを使用できるようになります。 マルチプレイのサーバー管理者やシングルプレイの場合常に所持金チートは利用可能です。

STR_CONFIG_SETTING_RENAME_TOWNS_MULTIPLAYER                     :マルチプレイクライアントに街の名前変更を許可: {STRING}
STR_CONFIG_SETTING_RENAME_TOWNS_MULTIPLAYER_HELPTEXT            :有効にすると管理者ではないマルチプレイクライアントが観戦していないとき街の名前を変更できるようになります。 マルチプレイのサーバー管理者やシングルプレイの場合常に街の名前変更は可能です。

STR_CONFIG_SETTING_OVERRIDE_TOWN_SETTINGS_MULTIPLAYER           :マルチプレイクライアントに街のオーバーライドを許可: {STRING}
STR_CONFIG_SETTING_OVERRIDE_TOWN_SETTINGS_MULTIPLAYER_HELPTEXT  :有効にすると管理者ではないマルチプレイクライアントが観戦していないとき街の基本的な設定を上書きできるようになります。 マルチプレイのサーバー管理者やシングルプレイの場合常に街の設定変更は可能です。

STR_CONFIG_SETTING_CATCHMENT_INCREASE                           :増加させる駅の集荷半径: {STRING}
STR_CONFIG_SETTING_CATCHMENT_INCREASE_HELPTEXT                  :指定された値だけ駅の集荷範囲の半径を増やします

STR_CONFIG_SETTING_STATION_RATING_CARGO_CLASS_WAIT_TIME         :貨物種別による駅の待機時間評価の許容範囲変動: {STRING}
STR_CONFIG_SETTING_STATION_RATING_CARGO_CLASS_WAIT_TIME_HELPTEXT:有効にすると、最後の貨物積載からの待機時間がその貨物のステーション評価に与える影響は、貨物種毎に変動するようになります。 乗客、郵便物、装甲貨物、冷蔵貨物、急行貨物は、待つことへの耐性が多様に低くなっています。 ばら積み貨物と液体貨物は耐性が高くなります。

STR_CONFIG_SETTING_STATION_RATING_SIZE_CARGO_AMOUNT             :駅の大きさによる駅の評価と貨物量の許容範囲変動: {STRING}
STR_CONFIG_SETTING_STATION_RATING_SIZE_CARGO_AMOUNT_HELPTEXT    :有効にすると、待機貨物の前のステーションの貨物容量が切り捨てられ、待機貨物量が与えるその貨物の駅評価への影響が駅の大きさによって変動するようになります。 より大きな駅はより多くの貨物を保管でき、大量の待機貨物に対してより耐性が高くなります。

STR_CONFIG_SETTING_CARGO_DELIVERY_MODE                          :貨物配送の配送モード: {STRING}
STR_CONFIG_SETTING_CARGO_DELIVERY_MODE_HELPTEXT                 :駅周辺の産業への貨物の配送方法を選択します。

STR_CONFIG_SETTING_TRAIN_BRAKING_MODEL                          :列車のブレーキモデル: {STRING}
STR_CONFIG_SETTING_TRAIN_BRAKING_MODEL_HELPTEXT                 :列車のブレーキに対して使用する物理モデルを選択します。「オリジナル」モデルでは列車の急停車を許容します。 「リアル」モデルでは、列車に制動距離が追加され、その分だけ前方に経路予約が追加されるので、列車が急停車できなくなります。{}{}「リアル」モデルは信号や路線の設計に多大な影響を与える初心者向けではない高度な機能です。具体的には、事前信号や双方向信号が許容されず、全ての信号にパス式信号が用られるようになります。

STR_CONFIG_SETTING_REALISTIC_BRAKING_ASPECT_LIMITED             :アスペクト制限された現実的な列車ブレーキ: {STRING}
STR_CONFIG_SETTING_REALISTIC_BRAKING_ASPECT_LIMITED_HELPTEXT    :現実的な列車ブレーキモデルで、列車の先読みを信号のアスペクトに限定します。(例: 無制限の数の信号を予約または先読みすることを許可しない)。{}これには多相信号を提供する NewGRF が必要です。{}{}これは信号の種類や配置により深い思考が要求され難易度が高くなる上級者向けの設定です。

STR_CONFIG_SETTING_LIMIT_TRAIN_ACCELERATION                     :列車の加速を制限する: {STRING}
STR_CONFIG_SETTING_LIMIT_TRAIN_ACCELERATION_HELPTEXT            :リアルな列車ブレーキモデルを利用する際、列車の最大加速度も制限します。列車の種類により急激に加速しすぎて乗客が飲み物をこぼしたりすることを防ぎます。

STR_CONFIG_SETTING_THROUGH_LOAD_SPEED_LIMIT                     :列車スルー積載の最高速度: {STRING}
STR_CONFIG_SETTING_THROUGH_LOAD_SPEED_LIMIT_HELPTEXT            :駅でのスルー積載が認められる列車の最高速度

STR_CONFIG_SETTING_RAIL_DEPOT_SPEED_LIMIT                       :列車庫の最大速度: {STRING}
STR_CONFIG_SETTING_RAIL_DEPOT_SPEED_LIMIT_HELPTEXT              :列車庫に入出庫するときの列車の最高速度を設定します

STR_CONFIG_SETTING_NON_LEADING_ENGINES_KEEP_NAME                :動力車が牽引しない場合もカスタム名を保持する: {STRING}
STR_CONFIG_SETTING_NON_LEADING_ENGINES_KEEP_NAME_HELPTEXT       :カスタム名が付いた牽引車を牽引しない位置に動かすときカスタム名を保持するかどうかを設定します

STR_CONFIG_SETTING_BACK_ONE_WAY_PBS_SAFE_WAITING                :一方通行パス信号の後方まで経路探索する: {STRING}
STR_CONFIG_SETTING_BACK_ONE_WAY_PBS_SAFE_WAITING_HELPTEXT       :有効にするとYAPF列車経路探索アルゴリズムは一方通行パス信号の後ろまで経路を探索するようになります。

STR_CONFIG_SETTING_INFLATION_FIXED_DATES                        :インフレを1920年から2090年まで適用する: {STRING}
STR_CONFIG_SETTING_INFLATION_FIXED_DATES_HELPTEXT               :有効にすると常に1920年から2090年まで、ゲームの開始日時に関係なくインフレを適用します。 これはOpenTTD 1.11から利用されているインフレモデルです。{}無効の場合、インフレはゲームの開始日時から170年間適用されます。 これはOpenTTD 1.10まで利用されていたインフレモデルです。

STR_CONFIG_SETTING_IMPROVED_BREAKDOWNS                          :改善された故障: {STRING}

STR_CONFIG_SETTING_SHIP_COLLISION_AVOIDANCE                     :船舶の衝突回避: {STRING}
STR_CONFIG_SETTING_SHIP_COLLISION_AVOIDANCE_HELPTEXT            :有効にすると船舶同士が通過することを回避しようとするようになります。 90°旋回が禁止されているときに最適な結果が得られます。

STR_CONFIG_SETTING_CHUNNEL                                      :水面下を通るトンネルの建設を許可: {STRING}
STR_CONFIG_SETTING_CHUNNEL_HELPTEXT                             :有効にするとトンネルを海水面より下を通るように建設できるようになります。トンネル出口間に海洋タイルが{NUM} から {NUM} タイルある必要があります。(この制限はパッチにより撤廃されています)

STR_CONFIG_SETTING_NO_TRAIN_CRASH_OTHER_COMPANY                 :別会社の列車同士が衝突しないようにする: {STRING}
STR_CONFIG_SETTING_NO_TRAIN_CRASH_OTHER_COMPANY_HELPTEXT        :この設定は主にマルチプレイのレールインフラ共有が有効なゲームにおいて信頼できないプレイヤーが他社の列車を巻き込む事故を故意に発生させることを防止するためのものです。

STR_CONFIG_SETTING_ROADVEH_ARTICULATED_OVERTAKING               :道路車両が渋滞を追い越すようにする: {STRING}
STR_CONFIG_SETTING_ROADVEH_ARTICULATED_OVERTAKING_HELPTEXT      :道路車両が連なっている場合、車両は他の車両を追い越すことができるようにします。

STR_CONFIG_SETTING_ROADVEH_CANT_QUANTUM_TUNNEL                  :道路車両が妨げられている場合に互いに通過できないようにする: {STRING}
STR_CONFIG_SETTING_ROADVEH_CANT_QUANTUM_TUNNEL_HELPTEXT         :長時間にわたり経路が妨げられている場合の道路車両の相互通行を無効化します。

STR_CONFIG_SETTING_DRIVE_THROUGH_TRAIN_DEPOT                    :ドライブスルー列車庫: {STRING}
STR_CONFIG_SETTING_DRIVE_THROUGH_TRAIN_DEPOT_HELPTEXT           :ドライブスルー列車庫のエミュレーションを可能にします。 列車は背中合わせに配置された列車庫間を移動できるようになります。前述した2つの列車庫の間に追加で列車庫を置くこともできます。 YAPF経路探索アルゴリズムを使用する必要があります。

STR_CONFIG_SETTING_WARN_RESTRICTION_WAIT_VEHICLE                :ルーティング制限による列車のスタックの注意喚起: {STRING}
STR_CONFIG_SETTING_WARN_RESTRICTION_WAIT_VEHICLE_HELPTEXT       :ルーティング制限により長時間パス式信号で待つことで列車がスタックしている場合にメッセージを出します

STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER                          :輸送機器に車庫への指令が存在しない場合の注意喚起: {STRING}
STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER_HELPTEXT                 :輸送機器の指令を監査とともに有効になっているとき 列車、道路車両、船舶に対して車庫への指令がない場合にメッセージで知らせてくるようになります
STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER_IF_BREAKDOWNS_ON         :輸送機器の故障が有効の場合に行う

STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER                     :輸送機器の旧式化撤廃が起きる年: {STRING}
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_HELPTEXT            :設定された年の時点で旧式化していない輸送機器が以後永久に購入できるようになります
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_VALUE               :{NUM}
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_ZERO                :オフ

STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER                  :新しい輸送機器が発表されなくなる年: {STRING}
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_HELPTEXT         :設定された年の時点で発表されていない輸送機器は日の目を見ることができなくなります
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_VALUE            :{NUM}
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_ZERO             :オフ

STR_CONFIG_SETTING_SHOW_WAGON_INTRO_YEAR                        :輸送機器の購入画面で客車/貨車の発表年を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_WAGON_INTRO_YEAR_HELPTEXT               :列車の客車/貨車が発表される年を表示する行を、輸送機器の購入画面に追加します。

STR_CONFIG_SETTING_SHOW_TRAIN_LENGTH_IN_DETAILS                 :詳細に列車の全長を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_TRAIN_LENGTH_IN_DETAILS_HELPTEXT        :輸送機器の詳細情報ウィンドウに列車の全長を表示します

STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_IN_DETAILS                :詳細に輸送機器のグループを表示する: {STRING}
STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_IN_DETAILS_HELPTEXT       :輸送機器の詳細情報ウィンドウに輸送機器のグループを表示します

STR_CONFIG_SETTING_SHOW_TRAIN_WEIGHT_RATIOS_IN_DETAILS          :詳細に列車の重量比を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_TRAIN_WEIGHT_RATIOS_IN_DETAILS_HELPTEXT :輸送機器の詳細情報ウィンドウに列車の重量比を表示します

STR_CONFIG_SETTING_SHOW_RESTRICTED_SIG_RECOLOUR                 :デフォルトの制限信号を青いポストで表示する: {STRING}
STR_CONFIG_SETTING_SHOW_RESTRICTED_SIG_RECOLOUR_HELPTEXT        :デフォルトの信号テクスチャを使用していてルーティング制限プログラムが適用されている色灯式信号をポールを青く表示します。 NewGRFの信号テクスチャには影響しません。これにより制限信号を視覚的に判別しやすくなります。

STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF                             :すべての信号をデフォルトのテクスチャで表示する: {STRING}
STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF_HELPTEXT                    :すべての信号をNewGRFのものを使用せずにデフォルトのテクスチャで表示します。 これによりNewGRFが提供する信号テクスチャが不明瞭または判別の難しいものである場合に、信号の種類と状態を判別しやすくなります。
STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF_HELPTEXT_EXTRA              :{STRING}{}"制限信号のみ"モードは経路制限プログラムが適用されている色灯式信号に対してデフォルトの信号テクスチャを使用します。信号ポストの色変更を有効にしていて、NewGRFが制限信号の異なるテクスチャを扱わない場合に機能します。
STR_CONFIG_SETTING_SHOW_ALL_SIG_RESTRICTED_RECOLOUR             :制限信号のみ

STR_CONFIG_SETTING_SHOW_ADV_TRACE_RESTRICT_FEATURES             :発展的なルーティング制限機能を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_ADV_TRACE_RESTRICT_FEATURES_HELPTEXT    :発展的なルーティング制限機能を表示します。 無効な場合、いくつかの発展的な機能がUIに表示されなくなりますが、それらは全てのプレイヤーが引き続き利用可能です。

STR_CONFIG_SETTING_SHOW_PROGSIG_FEATURES                        :プログラム可能な事前信号機能を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_PROGSIG_FEATURES_HELPTEXT               :プログラム可能な事前信号機能を表示します。 無効な場合、プログラム可能な事前信号の設置と設定を行うボタンがUIに表示されなくなりますが、それらは全てのプレイヤーが引き続き利用可能です。

STR_CONFIG_SETTING_SHOW_NOENTRYSIG_FEATURES                     :進入禁止信号機能を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_NOENTRYSIG_FEATURES_HELPTEXT            :進入禁止信号機能を表示します。 無効な場合、進入禁止信号の設置と設定を行うボタンがUIに表示されなくなりますが、それらは全てのプレイヤーが引き続き利用可能です。

STR_CONFIG_SETTING_SHOW_ADV_LOADING_MODE_FEATURES               :発展的な積載モード機能を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_ADV_LOADING_MODE_FEATURES_HELPTEXT      :発展的な積載モード機能(積み込み/積み下ろし、車両の向きに係る)を表示します。 無効な場合、発展的な積載モード機能がUIに表示されなくなりますが、それらは全てのプレイヤーが引き続き利用可能です。

STR_CONFIG_SETTING_DISABLE_TOP_VEH_LIST_MASS_ACTIONS            :輸送機器リストのトップレベルに対する一斉アクションボタンを無効にする: {STRING}
STR_CONFIG_SETTING_DISABLE_TOP_VEH_LIST_MASS_ACTIONS_HELPTEXT   :輸送機器リストにおける全輸送機器リストやグループ化されていない輸送機器リストで運行/車庫回送ボタンや運用開始/運用停止ボタンを無効にします。 これは不用意にそれらのボタンを押して悪影響が出ることを回避することを補助する目的で使うことを想定しています。

STR_CONFIG_SETTING_SHOW_DEPOT_SELL_GUI                          :車庫/格納庫へ回送して売却機能を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_DEPOT_SELL_GUI_HELPTEXT                 :輸送機器を車庫/格納庫へ回送して到着したら売却する機能を表示します。 有効にすると輸送機器の車庫に回送ボタンの挙動が変化します。

STR_CONFIG_SETTING_OPEN_VEHICLE_GUI_CLONE_SHARE                 :共有クローン時に新しい輸送機器のウィンドウを開く: {STRING}
STR_CONFIG_SETTING_OPEN_VEHICLE_GUI_CLONE_SHARE_HELPTEXT        :有効にすると、車庫ウィンドウから共有指令が設定されている輸送機器をクローンしたときクローンした輸送機器のウィンドウを開きます。

STR_CONFIG_SETTING_VEHICLE_NAMES                                :輸送機器名: {STRING}
STR_CONFIG_SETTING_VEHICLE_NAMES_HELPTEXT                       :輸送機器名に使用される命名スキーマを設定します。 カスタム名が設定されている輸送機器には適用されません。
STR_CONFIG_SETTING_VEHICLE_NAMES_TRADITIONAL                    :伝統的
STR_CONFIG_SETTING_VEHICLE_NAMES_MODERN                         :近代的
STR_CONFIG_SETTING_VEHICLE_NAMES_LONG                           :長い

STR_CONFIG_SETTING_SHADED_TREES_ON_SLOPES                       :斜面に生える木に影を適用: {STRING}
STR_CONFIG_SETTING_SHADED_TREES_ON_SLOPES_HELPTEXT              :斜面に描画される木の明るさを変更します。 山岳地帯の樹木被覆の見た目を改善します。

STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE                        :構造物を破壊する前に確認する: {STRING}
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_HELPTEXT               :不可逆的な構造物破壊を行う前に確認します。
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_OFF                    :オフ
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_INDUSTRY               :産業
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_ALL                    :産業と列車駅

STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW              :列車車両購入ウィンドウで機関車と客車をわける: {STRING}
STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_HELPTEXT     :有効にすると列車車両購入ウィンドウは左右に機関車と客車をわけてリスト表示します。

STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_DUAL_BUTTONS :列車車両購入ウィンドウのボタンをリスト毎に表示する: {STRING}
STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_DUAL_BUTTONS_HELPTEXT:有効にすると、車両購入ウィンドウの下部ボタンセットを動力車と客車のリスト毎に表示するようにします。

STR_CONFIG_SETTING_ALLOW_HIDE_WAYPOINT_LABEL                    :通過点の名称表示を隠せるようにする: {STRING}
STR_CONFIG_SETTING_ALLOW_HIDE_WAYPOINT_LABEL_HELPTEXT           :有効にすると、通過点の名称表示を個人的に隠すことができるようになります。{}通過点を装飾として利用する場合や名称表示の必要がない些細な通過点である場合に便利です。

STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION                      :水のアニメーションを無効にする: {STRING}
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_HELPTEXT             :有効にすると、指定されたズームレベルを超えてズームアウトしたときに水のアニメーションを無効にします。{}これはいくつかのベースセットで発生する高ズームレベルでの水のアニメーションによるノイズを排除するために有用です。
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_8X                   :8倍ズーム以上
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_16X                  :16倍ズーム以上
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_32X                  :32倍ズーム以上

STR_CONFIG_SETTING_SHOW_ORDER_OCCUPANCY_BY_DEFAULT              :指令積載率を標準で表示: {STRING}
STR_CONFIG_SETTING_SHOW_ORDER_OCCUPANCY_BY_DEFAULT_HELPTEXT     :輸送機器の指令ウィンドウを開く時に詳細な指令ごとの積載率を表示するようにします

STR_CONFIG_SETTING_SHOW_GROUP_HIERARCHY_NAME                    :名前にグループ階層を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_GROUP_HIERARCHY_NAME_HELPTEXT           :有効にすると、グループ名に完全な親階層の名前を含めます

STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_HIERARCHY_NAME            :輸送機器名にグループ階層を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_HIERARCHY_NAME_HELPTEXT   :『名前にグループ階層を表示する』と同時に有効なとき、輸送機器名に完全なグループ階層を含めます

STR_CONFIG_SETTING_SHOW_ORDER_NUMBER_IN_VEHICLE_VIEW            :輸送機器ウィンドウに指令番号を表示する: {STRING}
STR_CONFIG_SETTING_SHOW_ORDER_NUMBER_IN_VEHICLE_VIEW_HELPTEXT   :有効にすると、現在の指令が輸送機器ウィンドウの運行開始/停止バーに表示します

STR_CONFIG_SETTING_SHOW_SPEED_FIRST_IN_VEHICLE_VIEW             :輸送機器ウィンドウで速度を行先の前に表示する: {STRING}
STR_CONFIG_SETTING_SHOW_SPEED_FIRST_IN_VEHICLE_VIEW_HELPTEXT    :有効にすると、輸送機器ウィンドウの運行開始/停止バーの速度表記を行先の前にします

STR_CONFIG_SETTING_HIDE_DEFAULT_STOP_LOCATION                   :デフォルトの指令停車位置を非表示にする: {STRING}
STR_CONFIG_SETTING_HIDE_DEFAULT_STOP_LOCATION_HELPTEXT          :有効にすると、指令の停車位置がデフォルトと同じ場合は停車位置を非表示にします。

STR_CONFIG_SHOW_RAIL_POLYLINE_TOOL                              :線路ポリラインツールを表示する: {STRING}
STR_CONFIG_SHOW_RAIL_POLYLINE_TOOL_HELPTEXT                     :有効にすると、線路敷設ツールバーにポリラインモードで敷設するボタンを表示します。

STR_CONFIG_SHOW_VEHICLE_RUNNING_COSTS_CALENDAR_YEAR             :輸送機器の維持費をカレンダー年で表記する: {STRING}
